code,name,theme1,theme2,theme3
005930,삼성전자,반도체,,
000660,SK하이닉스,반도체,,
042700,한미반도체,반도체,,
058470,리노공업,반도체소부장,,
403870,HPSP,반도체,반도체소부장,
039030,이오테크닉스,반도체소부장,,
036930,주성엔지니어링,반도체,반도체소부장,
240810,원익IPS,반도체소부장,,
089030,테크윙,반도체소부장,,
067310,하나마이크론,반도체소부장,,
009150,삼성전기,전기전자,,
011070,LG이노텍,전기전자,,
373220,LG에너지솔루션,2차전지,,
006400,삼성SDI,2차전지,,
247540,에코프로비엠,2차전지,,
086520,에코프로,2차전지,,
003670,포스코퓨처엠,2차전지,,
066970,엘앤에프,2차전지,,
096770,SK이노베이션,2차전지,정유,배터리
005070,코스모신소재,2차전지,,
121600,나노신소재,2차전지,,
005380,현대차,자동차,,
000270,기아,자동차,,
012330,현대모비스,자동차,,
204320,HL만도,자동차,자율주행,부품
011210,현대위아,자동차,,
015750,성우하이텍,로봇,,
005850,에스엘,자동차,부품,램프
018880,한온시스템,자동차,전기차,열관리
012450,한화에어로스페이스,방산,,
064350,현대로템,방산,,
079550,LIG넥스원,방산,,
047810,한국항공우주,방산,,
272210,한화시스템,우주항공,방산,
103140,풍산,방산,,
064960,SNT모티브,방산,자동차,부품
099320,쎄트렉아이,우주항공,,
068270,셀트리온,바이오,제약,항체
207940,삼성바이오로직스,제약바이오,,
196170,알테오젠,제약바이오,,
000100,유한양행,바이오,제약,신약
128940,한미약품,바이오,제약,신약
028300,HLB,바이오,제약,항암
141080,리가켐바이오,제약바이오,,
185750,종근당,바이오,제약,신약
006280,녹십자,제약바이오,,
035420,NAVER,인터넷,플랫폼,AI
035720,카카오,인터넷,플랫폼,AI
259960,크래프톤,게임,콘텐츠,AI
036570,엔씨소프트,게임,콘텐츠,플랫폼
251270,넷마블,게임,콘텐츠,모바일게임
263750,펄어비스,게임,콘텐츠,모바일게임
293490,카카오게임즈,게임,플랫폼,콘텐츠
012510,더존비즈온,AI,소프트웨어,클라우드
304100,솔트룩스,AI,소프트웨어,챗봇
329180,HD현대중공업,조선,방산,선박
042660,한화오션,조선,방산,선박
010140,삼성중공업,조선,선박,LNG
009540,HD한국조선해양,조선,지주사,선박
010620,HD현대미포,조선,선박,중형선
097230,HJ중공업,조선,건설,방산
077970,STX엔진,조선,방산,엔진
034020,두산에너빌리티,원전,,
010120,LS ELECTRIC,전력설비,,
267260,HD현대일렉트릭,전력설비,,
298040,효성중공업,원전,전력설비,
103590,일진전기,전력설비,,
033100,제룡전기,전력설비,변압기,전력기기
006910,보성파워텍,원전,,
052690,한전기술,원전,,
051600,한전KPS,원전,,
277810,레인보우로보틱스,로봇,,
454910,두산로보틱스,로봇,,
108490,로보티즈,로봇,,
056080,유진로봇,로봇,,
058610,에스피지,로봇,,
117730,티로보틱스,로봇,,
348340,뉴로메카,로봇,,
090430,아모레퍼시픽,화장품,중국소비,소비재
051900,LG생활건강,화장품,중국소비,소비재
192820,코스맥스,화장품,ODM,중국소비
161890,한국콜마,화장품,ODM,소비재
257720,실리콘투,화장품,수출,소비재
018290,브이티,화장품,일본소비,소비재
237880,클리오,화장품,색조,소비재
105560,KB금융,은행,,
055550,신한지주,은행,,
086790,하나금융지주,지주사,은행,
316140,우리금융지주,은행,,
032830,삼성생명,보험,,
000810,삼성화재,금융,보험,주주환원
138040,메리츠금융지주,금융,보험,주주환원
352820,하이브,엔터,음원,콘텐츠
041510,에스엠,엔터,음원,콘텐츠
035900,JYP Ent.,엔터,음원,콘텐츠
122870,와이지엔터테인먼트,엔터,음원,콘텐츠
035760,CJ ENM,콘텐츠,미디어,엔터
253450,스튜디오드래곤,콘텐츠,미디어,드라마
005490,POSCO홀딩스,2차전지,,
004020,현대제철,철강,자동차,소재
001430,세아베스틸지주,우주항공,,
010130,고려아연,비철금속,2차전지,소재
028260,삼성물산,건설,지주사,원전
000720,현대건설,원전,,
047040,대우건설,원전,,
375500,DL이앤씨,건설,플랜트,해외수주
006360,GS건설,건설,플랜트,주택
000990,동진쎄미켐,반도체,소부장,소재
357780,솔브레인,반도체소부장,,
131970,두산테스나,반도체소부장,,
003850,보령,바이오,제약,신약
069620,대웅제약,바이오,제약,신약
009420,한올바이오파마,바이오,제약,항체
041830,인바디,바이오,의료기기,
214150,클래시스,바이오,의료기기,
030200,KT,AI,플랫폼,통신
017670,SK텔레콤,AI,플랫폼,통신
032640,LG유플러스,AI,플랫폼,통신
047560,이스트소프트,AI,소프트웨어,챗봇
067160,아프리카TV,AI,플랫폼,콘텐츠
078340,컴투스,게임,모바일게임,콘텐츠
069080,웹젠,게임,모바일게임,콘텐츠
192080,더블유게임즈,게임,플랫폼,콘텐츠
194480,데브시스터즈,게임,모바일게임,콘텐츠
225570,넥슨게임즈,게임,모바일게임,플랫폼
011200,HMM,조선,해운,물류
028670,팬오션,조선,해운,선박
012630,HDC현대산업개발,건설,주택,소비재
011790,SKC,소재,2차전지,화학
078600,대주전자재료,태양광,,
009830,한화솔루션,태양광,,
298050,효성첨단소재,소재,2차전지,전력설비
139480,이마트,소비재,유통,음식료
023530,롯데쇼핑,소비재,유통,화장품
007070,GS리테일,유통,소비재,음식료
097950,CJ제일제당,식품,소비재,바이오
004370,농심,식품,소비재,수출
271560,오뚜기,식품,소비재,
175330,JB금융지주,금융,은행,주주환원
024110,기업은행,은행,,
005830,DB손해보험,금융,보험,주주환원
323410,카카오뱅크,금융,AI,플랫폼
377300,카카오페이,금융,AI,플랫폼
001440,대한전선,전력설비,,
010950,S-OIL,정유,소재,화학
014820,동일철강,철강,소재,
000880,한화,방산,지주사,화학
014440,삼익THK,로봇,감속기,부품
079160,CJ CGV,콘텐츠,미디어,엔터
352480,씨앤씨인터내셔널,화장품,ODM,수출
022100,포스코DX,2차전지,,
009520,포스코엠텍,2차전지,,
093370,후성,2차전지,,
051910,LG화학,2차전지,,
020150,롯데에너지머티리얼즈,2차전지,,
006800,미래에셋증권,증권,우주항공,
016360,삼성증권,증권,,
005940,NH투자증권,증권,,
071050,한국금융지주,증권,,
003530,한화투자증권,증권,,
000250,삼천당제약,제약바이오,,
096530,씨젠,제약바이오,,
298380,에이비엘바이오,제약바이오,,
087010,펩트론,제약바이오,,
347850,디앤디파마텍,제약바이오,,
005250,녹십자홀딩스,제약바이오,,
234690,녹십자웰빙,제약바이오,,
402340,SK스퀘어,반도체,,
348210,넥스틴,반도체,,
036200,유니셈,반도체,,
086390,유니테스트,반도체,태양광,
033640,네패스,반도체,,
101490,에스앤에스텍,반도체,반도체소부장,
094360,칩스앤미디어,반도체,,
080220,제주반도체,반도체,,
032820,우리기술,원전,,
046120,오르비텍,원전,,
105840,우진,원전,,
130660,한전산업,원전,,
017040,광명전기,원전,,
054540,삼영엠텍,원전,,
217590,티엠씨,원전,,
083650,비에이치아이,원전,,
388720,유일로보틱스,로봇,,
090360,로보스타,로봇,,
319400,현대무벡스,로봇,,
060280,큐렉소,로봇,,
098460,고영,로봇,반도체소부장,
466100,클로봇,로봇,,
432470,케이엔에스,로봇,,
059120,아진엑스텍,로봇,,
090710,휴림로봇,로봇,,
140670,알에스오토메이션,로봇,,
160190,하이젠알앤엠,로봇,,
064400,LG씨엔에스,로봇,,
066570,LG전자,로봇,,
011930,신성이엔지,태양광,,
475150,SK이터닉스,태양광,,
322000,HD현대에너지솔루션,태양광,,
000390,SP삼화,태양광,,
043260,성호전자,태양광,,
171090,선익시스템,태양광,,
010060,OCI홀딩스,태양광,,
489500,엘케이켐,태양광,,
036540,SFA반도체,반도체소부장,,
095610,테스,반도체소부장,,
319660,피에스케이,반도체소부장,,
003160,디아이,반도체소부장,,
084370,유진테크,반도체소부장,,
064760,티씨케이,반도체소부장,,
161580,필옵틱스,반도체소부장,,
166090,하나머티리얼즈,반도체소부장,,
095340,ISC,반도체소부장,,
005290,동진쎄미켐,반도체소부장,,
