code,name,change_rate,trade_value,volume,open_price,current_price
005930,삼성전자,7.05,8486711600,84529,93787,100400
000660,SK하이닉스,8.6,5197317300,86191,55524,60300
042700,한미반도체,7.41,13485046400,83036,151196,162400
058470,리노공업,6.02,13662376000,89180,144501,153200
403870,HPSP,6.5,20504509500,84485,227887,242700
039030,이오테크닉스,5.83,10620340400,84827,118302,125200
036930,주성엔지니어링,5.79,9600514000,88484,102561,108500
240810,원익IPS,7.13,13364991400,85783,145430,155800
089030,테크윙,8.08,5985488500,85385,64859,70100
067310,하나마이크론,5.45,18759824000,88240,201612,212600
009150,삼성전기,12.13,11954881400,88033,121109,135800
011070,LG이노텍,8.37,19554955000,83390,216388,234500
373220,LG에너지솔루션,2.45,20481924700,87943,227330,232900
006400,삼성SDI,0.98,17366465900,81571,210833,212900
247540,에코프로비엠,0.8,4988464000,86008,57539,58000
086520,에코프로,2.49,17480005200,89964,189579,194300
003670,포스코퓨처엠,0.64,3924279200,84212,46303,46600
066970,엘앤에프,0.86,9967865600,80192,123240,124300
096770,SK이노베이션,1.67,8001386400,85944,91570,93100
005070,코스모신소재,0.4,11479964000,85480,133764,134300
121600,나노신소재,2.18,15788467200,81552,189469,193600
005380,현대차,0.14,16932906400,84076,201118,201400
000270,기아,0.67,16785815200,82852,201251,202600
012330,현대모비스,8.27,5152822400,81532,58372,63200
204320,HL만도,0.19,14406497600,88492,162491,162800
011210,현대위아,5.03,3829670000,86060,42368,44500
015750,성우하이텍,1.66,12465406800,89938,136336,138600
005850,에스엘,0.06,6404373200,80356,79652,79700
018880,한온시스템,1.13,12117750400,81656,146741,148400
012450,한화에어로스페이스,4.2,7561974000,87220,83205,86700
064350,현대로템,4.06,19045835600,82844,220930,229900
079550,LIG넥스원,3.24,8454285300,83623,97927,101100
047810,한국항공우주,5.38,14307628400,88757,152970,161200
272210,한화시스템,4.42,2289494000,86396,25378,26500
103140,풍산,5.27,12437316400,86131,137171,144400
064960,SNT모티브,5.23,11946841200,89691,126579,133200
099320,쎄트렉아이,3.11,17541648300,80949,210163,216700
068270,셀트리온,-0.99,16103640000,84756,191899,190000
207940,삼성바이오로직스,-0.8,4596480000,87552,52923,52500
196170,알테오젠,0.32,15019375600,87884,170354,170900
000100,유한양행,-0.11,15512094000,88388,175693,175500
128940,한미약품,-0.78,20484976500,89415,230901,229100
028300,HLB,-0.79,9238704800,81614,114101,113200
141080,리가켐바이오,-0.98,19929832800,87144,230963,228700
185750,종근당,0.24,19790820000,87570,225458,226000
006280,녹십자,-0.56,15544620800,89132,175382,174400
035420,NAVER,0.52,19942032000,85920,230899,232100
035720,카카오,-1.05,6149707200,89908,69125,68400
259960,크래프톤,-0.31,19674515200,89756,219881,219200
036570,엔씨소프트,0.79,2045620000,88940,22819,23000
251270,넷마블,-0.15,8361245200,80707,103755,103600
263750,펄어비스,-0.09,4380801600,80976,54148,54100
293490,카카오게임즈,-1.25,19498124800,83468,236556,233600
012510,더존비즈온,0.87,9062152000,85492,105085,106000
304100,솔트룩스,-0.34,7840913500,80255,98033,97700
329180,HD현대중공업,4.21,21089861300,87401,231551,241300
042660,한화오션,5.36,12219856800,84508,137243,144600
010140,삼성중공업,2.34,2590002800,88396,28630,29300
009540,HD한국조선해양,2.76,19652355000,87930,217497,223500
010620,HD현대미포,4.17,11133449600,80444,132859,138400
097230,HJ중공업,5.19,17788393500,86815,194790,204900
077970,STX엔진,3.28,16214635500,80871,194132,200500
034020,두산에너빌리티,3.37,11971476000,80616,143658,148500
010120,LS ELECTRIC,3.72,2483044200,88998,26899,27900
267260,HD현대일렉트릭,3.81,13923327000,89770,149407,155100
298040,효성중공업,1.91,10377964800,88248,115395,117600
103590,일진전기,3.16,20395646400,86276,229158,236400
033100,제룡전기,2.45,15387342000,88433,169838,174000
006910,보성파워텍,3.74,7860048000,83440,90803,94200
052690,한전기술,1.8,19015682400,83512,223673,227700
051600,한전KPS,3.5,18092974200,80022,218454,226100
277810,레인보우로보틱스,1.63,11310436900,83719,132933,135100
454910,두산로보틱스,1.31,17940661000,89435,198006,200600
108490,로보티즈,1.6,16570224000,87120,187204,190200
056080,유진로봇,1.97,6396136000,85055,73747,75200
058610,에스피지,2.88,16387996800,84824,187791,193200
117730,티로보틱스,1.87,9653796000,89387,106017,108000
348340,뉴로메카,2.3,19516068800,88952,214467,219400
090430,아모레퍼시픽,-0.66,4545499200,86089,53150,52800
051900,LG생활건강,-1.27,5303188800,84987,63202,62400
192820,코스맥스,0.8,9673194300,86911,110416,111300
161890,한국콜마,-0.57,8991528200,83101,108820,108200
257720,실리콘투,0.21,14555623600,80108,181319,181700
018290,브이티,-0.42,20072988000,81432,247539,246500
237880,클리오,-1.14,4011622000,87020,46631,46100
105560,KB금융,0.25,20182556000,89860,224039,224600
055550,신한지주,1.28,16150114400,85768,185920,188300
086790,하나금융지주,1.28,21348375500,87673,240422,243500
316140,우리금융지주,1.33,14770507500,85925,169643,171900
032830,삼성생명,1.34,8924145300,84429,104302,105700
000810,삼성화재,-0.73,8893426900,88141,101641,100900
138040,메리츠금융지주,1.34,9390728800,84449,109729,111200
352820,하이브,-0.22,18223750400,87488,208759,208300
041510,에스엠,-1.01,9941026800,80364,124962,123700
035900,JYP Ent.,0.75,9063467200,81506,110372,111200
122870,와이지엔터테인먼트,0.68,20372800000,85600,236392,238000
035760,CJ ENM,0.19,6116613100,85787,71164,71300
253450,스튜디오드래곤,-0.13,11751667200,85904,136978,136800
005490,POSCO홀딩스,1.06,19068434200,85051,221848,224200
004020,현대제철,0.34,11746214400,86624,135140,135600
001430,세아베스틸지주,-1.24,20253682800,84708,242102,239100
010130,고려아연,2.43,2522748800,88208,27921,28600
028260,삼성물산,1.56,7759549800,81337,93934,95400
000720,현대건설,1.87,6694218000,84204,78040,79500
047040,대우건설,3.83,17562480000,81120,208513,216500
375500,DL이앤씨,-0.72,5189577600,89168,58622,58200
006360,GS건설,-1.17,16184715600,82956,197409,195100
000990,동진쎄미켐,4.96,11556359100,89793,122618,128700
357780,솔브레인,6.98,14802516000,88904,155636,166500
131970,두산테스나,6.59,9279417600,80064,108734,115900
003850,보령,0.84,7741684900,86693,88556,89300
069620,대웅제약,-1.39,3283949400,81894,40665,40100
009420,한올바이오파마,0.93,16094348800,80512,198058,199900
041830,인바디,-0.36,15597292000,81448,192191,191500
214150,클래시스,-0.69,16167465200,80156,203101,201700
030200,KT,0.73,17347094500,82409,208974,210500
017670,SK텔레콤,-0.51,9552060000,88200,108855,108300
032640,LG유플러스,-1.37,5215781000,83855,63063,62200
